name,year,director,actors,rating,no_of_votes,imdb_link
Gangs of Wasseypur,2012,Anurag Kashyap,"Manoj Bajpayee, Richa Chadha",8.0,47516.0,/title/tt1954470/
Roman Holiday,1953,William Wyler,"Gregory Peck, Audrey Hepburn",8.0,102284.0,/title/tt0046250/
Tenkû no shiro Rapyuta,1986,Hayao Miyazaki,"Anna Paquin, James Van Der Beek",8.0,101068.0,/title/tt0092067/
Fanny och Alexander,1982,Ingmar Bergman,"Bertil Guve, Pernilla Allwin",8.0,43890.0,/title/tt0083922/
Per un pugno di dollari,1964,Sergio Leone,"Clint Eastwood, Gian Maria Volontè",8.0,150061.0,/title/tt0058461/
Guardians of the Galaxy,2014,James Gunn,"Chris Pratt, Vin Diesel",8.0,696201.0,/title/tt2015381/
The King's Speech,2010,Tom Hooper,"Colin Firth, Geoffrey Rush",8.0,510075.0,/title/tt1504320/
The Avengers,2012,Joss Whedon,"Robert Downey Jr., Chris Evans",8.0,1007840.0,/title/tt0848228/
Lagaan: Once Upon a Time in India,2001,Ashutosh Gowariker,"Aamir Khan, Gracy Singh",8.0,73454.0,/title/tt0169102/
Kahaani,2012,Sujoy Ghosh,"Vidya Balan, Parambrata Chatterjee",8.0,39480.0,/title/tt1821480/
Beauty and the Beast,1991,Gary Trousdale,"Paige O'Hara, Robby Benson",8.0,312197.0,/title/tt0101414/
